,mentalhealth,fitness,travel,food,motivation
2024-01-01,95.06221664663516,86.05823806770587,48.076150517180515,74.93285962108867,179.21245636309797
2024-01-02,110.02518939492779,57.63436643639571,68.88517000835841,85.92829544492501,183.30308992655318
2024-01-03,110.2813830815152,74.27057607416603,48.48960010390814,82.83923962924338,190.47907876720134
2024-01-04,118.25023163285167,72.59090830070924,56.39947067228047,80.04071842622568,187.47164473028212
2024-01-05,102.98936567208719,82.33924100854424,78.45004857098827,82.8392076269881,188.15629653703502
2024-01-06,104.19813105626321,84.9045450172761,56.85083360106662,103.87543557043095,176.0386270422096
2024-01-07,104.38597868954442,100.89864487070452,72.07823230076718,79.91504296675349,203.52035401194715
2024-01-08,101.50682866744991,92.28905155824128,49.45070222749868,83.15009810207414,201.66486626441994
2024-01-09,85.26762686078818,77.66123656255999,88.44504591704022,92.29111153780383,181.9346291804904
2024-01-10,121.53951638576125,75.08882897976845,65.22906553858425,93.48252948137558,214.13778135215733
2024-01-11,120.83987681139496,89.63177384840657,69.86741643302348,94.937179647489,217.0163533419892
2024-01-12,98.07283964214916,72.14642367956117,71.34074994546202,90.09035242860313,193.3325483113093
2024-01-13,109.66354538088873,104.29574981265444,76.25845702762928,72.90540748534976,213.1394961232238
2024-01-14,107.14824498073028,98.4038706905947,55.61929588372484,101.29807926493648,196.3723394928152
2024-01-15,108.16275447395793,82.54159210144478,71.38161014432998,74.12418915084865,204.53736178394527
2024-01-16,94.41911073266049,70.72112813397393,65.46641139727392,89.23312253581673,194.98770013401645
2024-01-17,110.13461519046342,102.00524467281987,55.77257490058783,79.27805688951585,226.10188422513133
2024-01-18,123.01522012329059,87.92977313309815,83.14801981711622,86.7880825782381,201.6078473716682
2024-01-19,143.23583362935298,102.05627257016951,70.35800584464377,91.32002801201338,206.43544773801236
2024-01-20,122.18019650479857,74.3307458295187,76.90185290379236,91.8428890305088,198.88849660216692
